Word 1,Word 2,Homophones? (Y/N)
bury,berry,Y
sea,see,Y
frey,fey,N
route,root,Y
earn,urn,Y
kill,sill,N
fury,ferry,N
beach,beech,Y
pour,pore,Y
ear,ore,N
might,mite,Y
sail,soil,N
row,rough,N
raid,ride,N
weigh,way,Y
flay,flee,N
weak,wake,N
cell,sell,Y
bore,bow,N
quay,key,Y
prey,pray,Y
pail,pale,Y
pout,port,N
peach,poach,N
some ,sum,Y
maid,made,Y
pear,pair,Y
new,no,N
sew,so,Y
dough,doe,Y
dual,jewel,N
shoot,soot,N
neigh,nigh,N
pea,pie,N
break,brake,Y
dear,dare,N
duet,cruet,N
sore,saw,N
sight,sigh,N
home,hum,N
son,sun,Y
for,four,N
cent,scent,Y
die,dye,Y
flour,flower,Y
heal,heel,Y
knight,night,Y
idle,idol,Y
sole,soul,Y
weather,whether,Y
dove,dust,N
guild,gold,N
gate,game,N
skit,skid,N
pour,power,N
owl,foul,N
behave,brave,N
lead,led,Y
bow,bough,Y
grown,groan,Y